,title,link,description,pubDate,realDate
0,Boeing C.E.O. to Step Down in Major Reshuffle at Embattled Plane Maker,https://www.nytimes.com/2024/03/25/business/boeing-ceo-steps-down.html?partner=naver,"Stan Deal, Boeing’s head of commercial planes, departed immediately. Boeing abruptly said on Monday that it was overhauling its leadership amid its most significant safety crisis in years... ",2024-03,2024-03-25
1,TikTok Can’t Get Enough Boeing Jokes. Guess Who’s Not Laughing.,https://www.nytimes.com/2024/03/26/style/boeing-737-tiktok-social-media.html?partner=naver,"The reason for her concern: Her seat was in the exit row of a Boeing 737 Max. On TikTok and X, users have been sharing videos and memes poking fun at Boeing, one of the world’s leading... ",2024-03,2024-03-26
2,Boeing Chief Dave Calhoun Resigns Amid Ongoing Safety Probes,https://www.econotimes.com/Boeing-Chief-Dave-Calhoun-Resigns-Amid-Ongoing-Safety-Probes-1674315,"Boeing's chief executive officer, Dave Calhoun, will leave the company at the end of this year.... Boeing said it will revamp its leadership amid ongoing issues centered on safety probes. It was... ",2024-03,2024-03-26
3,A Timeline of Dave Calhoun’s Rocky Tenure at Boeing,https://www.nytimes.com/2024/03/25/business/boeing-ceo-dave-calhoun-timeline.html?partner=naver,"When Boeing named Dave Calhoun its chief executive in 2019, his mandate was clear: to navigate... But on Monday, Boeing announced that Mr. Calhoun would depart at the end of 2024 as the company... ",2024-03,2024-03-26
4,Los problemas de calidad de Boeing en 4 claves,https://www.nytimes.com/es/2024/03/28/espanol/problemas-boeing-max.html?partner=naver,"Boeing se ha enfrentado a una intensa presión y escrutinio desde que un panel salió volando de... Ahora, Boeing se enfrenta a un inmenso reto al intentar introducir cambios que puedan mejorar... ",2024-03,2024-03-29
5,‘Shortcuts Everywhere’: How Boeing Favored Speed Over Quality,https://www.nytimes.com/2024/03/28/business/boeing-quality-problems-speed.html?partner=naver,"In February last year, a new Southwest Airlines Boeing 737 Max plane was on one of its first... planes Boeing is producing. “There’s a lot of areas where things don’t seem to be put... ",2024-03,2024-03-28
6,What the Boeing whistleblower’s death reveals about exposing corporate ...,https://www.econotimes.com/What-the-Boeing-whistleblowers-death-reveals-about-exposing-corporate-wrongdoing-in-North-America-1673698,"A former Boeing employee who raised concerns about the company’s safety and production... against Boeing. John Barnett died from what appeared to be a self-inflicted gunshot wound, according to... ",2024-03,2024-03-18
7,Boeing Prompted to Address Safety Culture Before Boosting 737 MAX Product...,https://www.econotimes.com/Boeing-Prompted-to-Address-Safety-Culture-Before-Boosting-737-MAX-Production-1673932,The head of the Federal Aviation Administration emphasized that Boeing must enhance its safety... with Boeing regarding the production hike have not commenced. The agency will only greenlight a... ,2024-03,2024-03-20
8,You Don’t Need to Freak Out About Boeing Planes (but Boeing Sure Does),https://www.nytimes.com/2024/03/31/opinion/boeing-plane-safety.html?partner=naver,"“Ah, it’s a Boeing Max,” I exclaimed to my travel companions after we boarded our plane a... We weren’t, but joining a trend on social media, we cracked a few jokes at Boeing’s expense... ",2024-03,2024-03-31
9,Boeing Needs New Leadership With the Right Kind of Experience,https://www.nytimes.com/live/2024/03/26/opinion/thepoint/boeing-new-leadership?partner=naver,"Has Boeing finally gotten the message that its very future rests on restoring faith in the... a Boeing 737 Max 9 plane midair during an Alaska Airlines flight. Fortunately, there were no major... ",2024-03,2024-03-26
10,Boeing Loses $355 Million in Latest Quarter,https://www.nytimes.com/2024/04/24/business/boeing-first-quarter-earnings.html?partner=naver,"Boeing on Wednesday reported a $355 million loss for the first three months of the year, as it... Boeing brought in more than $16.5 billion in revenue in the first quarter, less than it reported... ",2024-04,2024-04-24
11,Boeing Provides $425 Million Financial Support for Spirit AeroSystems Ami...,https://www.econotimes.com/Boeing-Provides-425-Million-Financial-Support-for-Spirit-AeroSystems-Amid-Production-Challenges-1676278,"from Boeing. The planemaker is set to advance $425 million to Spirit, aiming to alleviate the... aviation regulator imposes a production cap on Boeing's 737 MAX aircraft, limiting the monthly... ",2024-04,2024-04-24
12,Former Boeing Manager Says Workers Mishandled Parts to Meet Deadlines,https://www.nytimes.com/2024/04/24/business/boeing-airlines-plane-issues.html?partner=naver,"left Boeing last year after a 30-year career, said he was speaking publicly about his experience because he loved the company “fiercely.” Two framed documents from a long career at Boeing... ",2024-04,2024-04-24
13,Wanted: An Executive to Repair Boeing,https://www.nytimes.com/2024/04/24/business/boeing-chief-executive-search.html?partner=naver,"The plane maker, which is searching for a new chief executive, is likely to consider a small number of people, including several former Boeing executives. When Boeing named Stephanie Pope to the... ",2024-04,2024-04-24
