,title,link,description,pubDate,realDate
0,CMA CGM Partners with Nike for Sustainable Shipping,https://www.ksg.co.kr/news/main_newsView.jsp?pNum=140974,"We are thrilled to announce a collaboration with Nike to reduce the carbon footprint of their... Nike, a global leader in the apparel and sportswear industry, has recently entered into an... ",2024-03,2024-03-19
1,"German Soccer Federation Ends 7-Decade Partnership with Adidas, Switches ...",https://www.econotimes.com/German-Soccer-Federation-Ends-7-Decade-Partnership-with-Adidas-Switches-Nike-1674107,"American sportswear giant Nike has secured a significant deal to supply all of Germany's... the Nike brand for upcoming events. While looking ahead to the new partnership with Nike, the DFB... ",2024-03,2024-03-22
2,Nike Introduces Air Max Wallet: A Fusion of Sneaker Style and Functionali...,https://www.econotimes.com/Nike-Introduces-Air-Max-Wallet-A-Fusion-of-Sneaker-Style-and-Functionality-1673845,"Nike has unveiled a unique accessory that goes beyond footwear enthusiasts' expectations. The Nike Air Max Wallet draws inspiration from the iconic Air Max 1 &quot;Royal&quot; sneaker, seamlessly blending... ",2024-03,2024-03-19
3,Nike Adapting Strategy Shift in Response to Market Dynamics,https://www.econotimes.com/Nike-Adapting-Strategy-Shift-in-Response-to-Market-Dynamics-1674119,"Nike, a prominent player in the athletic footwear industry, is undergoing a strategic... Reuters reported that following a post-earnings conference call when management said Nike had lost market... ",2024-03,2024-03-22
4,"Nike Launches New International Football Kits for Euro 2024, Copa America...",https://www.econotimes.com/Nike-Launches-New-International-Football-Kits-for-Euro-2024-Copa-America-2024-1673832,"Nike recently unveiled its latest collection of international football kits in preparation for a... With major continental soccer events just around the corner, Nike has followed in Adidas... ",2024-03,2024-03-19
5,Does Portland Need a Soho House? (Does It Even Want One?),https://www.nytimes.com/2024/03/14/style/soho-house-portland.html?partner=naver,"at Nike or for the creative agency Wieden+Kennedy, rent luxury apartments in the Pearl District... Carnie said chefs, tech workers, business owners and employees at Nike might all fit the bill.... ",2024-03,2024-03-14
6,[주간 데이터동향] 건강관리도 디지털로 스마트하게! 헬스케어 관련 앱...,http://www.banronbodo.com/news/articleView.html?idxno=22705,"이에 캐시워크(보상형 만보기 앱), Nike Run Club 등의 조깅 관련 앱들도 인기를 끌고 있다. 넛지헬스케어의... 뒤이어 Nike Run Club(128만 명), 워크온(112만 명), 걷쥬(51만 명), 하이헬스 챌린지(42만 명), TranGGle GPS(38만 명)가... ",2024-03,2024-03-29
7,Inflation Fears Stalk Presidential Politics and the Markets,https://www.nytimes.com/2024/03/06/business/dealbook/inflation-biden-trump-elections-markets.html?partner=naver,"Rick Burton, a professor of sports management at Syracuse University, laid out another scenario: “If Dartmouth had been a Nike school, and the university was providing Nike shoes and apparel to... ",2024-03,2024-03-06
8,"쿠팡, 최대 80% 할인 ‘스니커즈 페스타’ 진행",http://www.breaknews.com/1020814,"About 50 popular global brands including Nike, Adidas, Puma, New Balance, and Asics participated in this event. Representative products include △Nike Air Max (around 100,000 won), △Asics Gel Kayano Trainer (around 80... ",2024-03,2024-03-13
9,"See-Through Baseball Pants Have Fans, and Brands, Pointing Fingers",https://www.nytimes.com/2024/03/12/style/mlb-fanatics-uniform-pants.html?partner=naver,"A redesign of M.L.B.’s uniforms has put Fanatics and Nike at the center of a debate about... B.’s new uniforms, which were designed by Nike and produced by the sports memorabilia behemoth... ",2024-03,2024-03-12
